"ACTIVITY LIST
Note: The activity list is not final and is subject to change by DAFZ NOC will be required for certain activities",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Activity Code,Activity Name (English),Activity Name (Arabic),Description,Description (Arabic),Industry Group,ISIC Activity,,,
,,,,Includes the buying and selling,,"Financial Intermediation, except insurance and pension funding",,,,
,,,,(Proprietary Trading) of crypto-,,,,,,
,,,,commodities developed on,,,,,,
,659992,Proprietary Trading in Crypto-commodities,تجارة السلع المعماة للحساụ الخاص,"distributed ledger technology applications. This activity does not include acting as an exchange,",,,,,,
,,,,"providing brokerage services,",,,,,,
,,,,"financial services, banking services,",,,,,,
,9321002,Gaming Venue,صالة للألعاụ الالكترونية,"Includes operating venues where people get together for playing electronic and video games, as well as hosting E-sports competitions.","يشمل المنشآت التي توفر المحال والصالات لممارسة الألعاụ الإلكترونية وألعاụ الفيديو،
وكذلك إستضافة مسابقات الرياضات الإلكترونية",,,,,
,,,,Includes firms that hold the,,,,,,
,5820003,Gaming Publisher,نشر الألعاụ,"publishing rights to video and mobile games, whether the games have been developed internally
by the publisher or externally by a","يشمل المنشآت التي تمتلك حقوق نشر ألعاụ الفيديو والهواتف المحمولة وغيرها، سواء
تم التطوير داخلًيا بواسطة الناشر أو خارجًيا
بواسطة مطور ألعاụ",,,,,
,,,,gaming developer.,,,,,,
,,,,"Includes firms engaged in creating,","يشمل المنشآت التي تقوم بإنتاج وتطوير وتقديم محتوى إبداعي للاستخدام في
صناعة الألعاụ، بما في ذلك الرسوم المتحركة والنصوص والصور ومقاطع
الفيديو والمعلومات البيانية والصور المنشأة بالحاسوụ وذلك لاستخدامها في التطبيقات
والأنظمة الرقمية، تنسيق وتكوين المحتوى ụ",,,,,
,,,,developing and providing creative,,,,,,
,,,,content for use in the gaming,,,,,,
,5911009,"Gaming Content
Production",إنتاج محتوى الالعاụ,"industry, including animations, texts,
images, videos, infographics and the",,,,,,
,,,,"3D computer-generated imagery,",,,,,,
,,,,in order to use on applications and,,,,,,
,,,,digital plat,,,,,,
,5911008,Gaming Studio,أستديو ألعاụ,"Includes firms involved in multiple aspects of the gaming industry, including game development, content production, technology, distribution and publishing.","يشمل المنشآت التي تقدم العديد من الخدمات للجهات المتخصصة في الألعاụ،
بما في ذلك تطوير الألعاụ وإنتاج المحتوى والتكنولوجيا والتوزيع والنشر",,,,,
,,,,Includes firms providing services to,"يشمل المنشآت التي تقدم الخدمات لمساعدة جميع الشركات العاملة في صناعة
الألعاụ، بما في ذلك تطوير وتعريب الصوت، خدمات إدارة المواهب، تطوير الأدوات، التطوير
المشترك، تجديد الوسائط، تصميم الصوت والموسيقى، التسجيل الصوتي وتصوير
لقطات الفيديو، تكامل الأصول، خدما",,,,,
,,,,assist all of the needs of companies,,,,,,
,,,,involved in the gaming industry,,,,,,
,5912010,Gaming Production Service Providers,تقديم الخدمات المتعلقة بإنتاج الألعاụ,"including audio development, audio localization, casting and talent management services, tool",,,TRUE,,,
,,,,"development, co-development,",,,,,,
,,,,"remastering, sound design",,,,,,
,,,,,,Gaming Industry,,,,
,,,,Includes firms offering all forms of quality assurance testing for,"يشمل المنشآت التي تقدم العديد من إختبارات ضمان الجودة للجهات المتخصصة
في الألعاụ، بما في ذلك الإختبارات الوظيفية للمنتجات الرقمية، إصدار شهادة اختبار الأجهزة،
إختبارات الإجهاد والحمل، إجراء الإختبارات للمستخدم وتقييم أداء الشبكة",,,,,
,7120039,"Gaming Quality
Assurance Specialized Services",خدمات ضمان الجودة المتخصصة للألعاụ,"the gaming industry, including
functional testing services, hardware certification testing, stress and load",,,,,,
,,,,"testing, user testing and network",,,,,,
,,,,performance testing,,,,,,
